# 별바라기 혜성 자료 파일
#
# 수정 내용을 반영하려면, 파일을 저장한 후 혜성 다이로그를 닫았다가 다시 띄우십시오.
# '#'으로 시작하는 줄은 프로그램에서 인식하지 않습니다.
# 각 항목을 '|'를 구분자로 사용하여 입력하십시오.
# 순서를 바꾸면 프로그램에서도 바뀐 순서로 나옵니다.
# 중요한 것을 앞쪽에 놓으면 편리합니다.    58 270
# 혜성의 이름은 39자까지 인식되며, 그 뒤는 무시됩니다.
#                                                                                근일점이각      승교점                            
#     이름                              분점        근일점           q         e        w         Node       i       k              ref
#1P/Halley                              |2000|19860205.5244 | 0.585978 |0.967142 |111.3324 |58.42008 | 162.262 |11.5 |15.0 | MPC 29882
#
C/2020 F3 (니와와이즈)             |2000|20200703.680625 | 0.29467669 |0.99917623 |37.276705589695 |61.009686845407 | 128.93750821 |1.0 |10.0 | MPC 29882
판스타스                                 |2000|20130712.1666 | 4.293848 |0.886614 |165.8500 |174.0770 | 126.0186 |11.5 |15.0 | MPC 29882
C/1995 O1 (헤일-밥)                     |2000|19970329.6768 | 0.912594 |0.994934 |130.6101 |283.3723 | 88.9848 |-2.0 |10.0 | MPC106342
1P/Halley (핼리)                        |2000|19860205.5244 | 0.604067 |0.966197 |111.1951 | 58.2559 |162.3070 | 4.0 |15.0 | 98, 1083
2P/Encke (엔케)                         |2000|20200625.8452 | 0.336720 |0.848001 |186.5625 |334.5517 | 11.7646 |10.4 |15.0 | MPC118097
4P/Faye                                |2000|20210909.1309 | 1.614766 |0.578014 |206.8143 |193.2234 |  8.0098 | 8.0 |15.0 | MPEC 2015-A10
P/1996 R2 (Lagerkvist)                 |2000|20190211.5206 | 2.589902 |0.313891 |333.2951 | 40.0415 |  2.6003 |11.5 |10.0 | NK   1615
P/1997 B1 (Kobayashi)                  |2000|20220328.8346 | 2.054409 |0.760056 |183.3837 |328.8902 | 12.3401 |15.0 | 5.0 | MPC 30063
P/1998 VS24 (LINEAR)                   |2000|20180118.0128 | 3.435256 |0.241765 |244.7256 |159.0300 |  5.0244 |13.0 | 5.0 | MPC 75703
P/1999 RO28 (LONEOS)                   |2000|20190626.0424 | 1.124171 |0.671938 |231.2750 |137.8824 |  7.5660 |20.0 | 5.0 | NK    731
P/1999 XN120 (Catalina)                |2000|20170611.2735 | 3.299514 |0.210473 |161.9465 |285.2965 |  5.0297 |13.5 | 5.0 | MPC 75704
P/2000 R2 (LINEAR)                     |2000|20190617.3542 | 1.623482 |0.531507 |176.4922 |160.3012 | 11.6835 |18.0 |10.0 | NK    744
P/2001 BB50 (LINEAR-NEAT)              |2000|20140902.9167 | 2.372884 |0.586547 |193.6619 |351.2023 | 10.3540 |13.0 |10.0 | MPC 75704
P/2001 H5 (NEAT)                       |2000|20151020.2190 | 2.445780 |0.598937 |224.8756 |328.6876 |  8.3682 |12.0 |10.0 | MPC 43019
P/2001 Q6 (NEAT)                       |2000|20240229.3923 | 1.409312 |0.822691 | 42.9620 | 22.1040 | 56.8950 |13.5 |10.0 | MPC 75704
P/2002 EJ57 (LINEAR)                   |2000|20180618.7973 | 2.633693 |0.593188 |167.3227 |330.3440 |  4.9757 |12.5 |10.0 | MPC 47727
P/2002 T5 (LINEAR)                     |2000|20211215.8835 | 3.937477 |0.437655 |326.7956 |123.0885 | 30.8531 | 8.0 |10.0 | MPC109588
P/2002 T6 (NEAT-LINEAR)                |2000|20240724.6895 | 3.374849 |0.559628 |219.4916 |206.6126 | 10.8337 |10.5 |10.0 | MPC109588
C/2002 VQ94 (LINEAR)                   |2000|20060128.0629 | 6.836035 |0.963395 |100.1959 | 34.9779 | 70.5311 | 9.5 | 5.0 | MPC 75007
P/2003 F2 (NEAT)                       |2000|20191112.0870 | 2.970216 |0.542021 |191.8537 |359.0888 | 11.6055 |16.5 | 5.0 | MPC 50354
P/2003 QX29 (NEAT)                     |2000|20250804.6585 | 4.236266 |0.472884 | 37.3312 |264.6025 | 11.3899 | 8.5 |10.0 | MPC 50139
P/2003 T12 (SOHO)                      |2000|20200506.8567 | 0.595824 |0.769607 |219.7717 |174.5749 | 11.0160 |17.0 |10.0 | MPC105235
P/2004 A1 (LONEOS)                     |2000|20270123.6475 | 5.490521 |0.309523 | 21.5135 |124.8494 | 10.5518 | 6.5 |10.0 | MPC 82312
